k10,k_kinetics,xNH3_r2,xNO3_r2,xNO2_r2,xNOrg_r2,xN2_r2,ANH3_r2,ANO3_r2,ANO2_r2,ANOrg_r2,AN2_r2,r2_mean,r2_all
10,00000001010,0.23890421584629062,-6.213003942487571,-0.21887990747841224,-0.27248381709096026,-1.0483258135448965,0.4297803343534701,-3681.016710507474,-0.1743805431309391,-1.5218481803771016,-0.957101054029484,-369.0754049215414, 0.6458187552496546
11,00000001011,-332.4556659050624,-7.5517753093929905,-23.487026728409656,-4.487732799358398,-1.7902459768477073,0.5462540849980103,-105457359.58896819,-0.9699538742407139,0.8969912113098347,-2.220626580201311,-10545773.110875007, 0.9974906817081697
12,00000001100,-0.5771009003915766,-6.112056268142949,-0.18630335055254954,-0.29256126367890833,-0.9912912215538159,0.8600705808219171,-4067.7194304681097,0.010454263496551985,-5.00232849998667,-0.9138704786808323,-408.09244176067784, 0.6417833548657403
13,00000001101,-20.777680376891418,-5.424244636482558,-20.819953226283243,-4.9812427012852245,-1.7909373921105858,0.9293310007299247,-3952295.648373943,0.0826271120738602,0.7031695898332742,-1.8458359595055236,-395234.9573140533, 0.997215397178526
14,00000001110,0.053713227651338014,-1.0251615069474966,-240123.631587947,-1.520139825358127,-1.7918177984142436,-23.631774945286946,-19301.569833718422,-2.5002415519683137,0.9446307561164893,-2.908938556393269,-25945.7581151866, 0.9827137233162243
15,00000001111,0.6890961607104403,-2.8902218077499837,-1.0075706458387619,-0.9689242300932315,-0.15664419937136076,0.7886314322774219,-2376.4859902542976,-0.18197073682951603,-92.95369183696204,-0.34550494458522096,-247.35127910627403, -0.04506469041325545
16,00000010000,-134.03362914714444,-1.8588535591099524,-17.214971647749525,-1.111752512559299,-1.7914063638416824,0.9442572459704826,-76011.13031292579,-2.239583726303346,0.992561824237159,-1.813056254076188,-7616.925674706635, 0.9987184899828275
17,00000010001,-1442.5328651525795,-6.818959563132429,-19.207967497051964,-4.754832659010226,-1.7909655813343384,0.614716079008355,-13686822.864127852,-0.017354984819952346,0.9427422425892246,-2.354163731167662,-1368829.87837787, 0.9974373612675478
18,00000010010,-157.6594025866102,-0.25421010539269195,-15.498198718470036,-1.2781572869562017,-1.7900369604253195,-0.7389861892146143,-59620.01835403896,-1.9387001256243206,0.7776621977111849,-2.5083363647671835,-5980.090672017871, 0.996066994074196
19,00000010011,-66.3144967035375,-7.970164226452123,-27.011415438256535,-4.484316653511024,-1.7903914422466225,-1.4995579127177034,-24735334.70955007,-1.9603614974783135,0.8113206554939735,-2.658791005603613,-2473544.75877243, 0.9966984039379291
