k_kinetics,ks_res,r2
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0)","[ 1.32901058e-03  4.12828504e-06  6.06562666e-04 -5.35103774e-06
  7.02870143e-07 -1.16530372e-07  2.74514803e-04 -2.92863479e-02
  2.51351123e-02  3.01459609e-03 -2.24977141e-02]","0.793965465653905"
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1)","[ 1.33411208e-03  4.18537187e-06  6.09434984e-04 -5.42214631e-06
  7.02785870e-07 -1.16512715e-07  2.74241693e-04 -2.96173131e-02
  2.50818967e-02  3.00410097e-03 -3.68520645e-04]","0.7955683415952226"
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0)","[ 1.78548424e-03  4.08819045e-06  3.56260743e-04 -5.30109408e-06
  7.16969070e-07 -1.19069911e-07  2.82933161e-04 -2.98116376e-02
  2.47159761e-02  3.35756475e-05 -2.24954743e-02]","0.7931950703613739"
"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1)","[ 1.78924376e-03  4.14527389e-06  3.59869478e-04 -5.37218514e-06
  7.16850685e-07 -1.19046340e-07  2.82635351e-04 -3.01420702e-02
  2.46639852e-02  3.34505528e-05 -3.68500944e-04]","0.7948029553209174"
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0)","[-2.48636099e-04  2.05804950e-06  6.58979953e-04 -2.77286883e-06
  6.91058367e-07 -1.14835513e-07  3.22557660e-04 -8.42057620e-03
  1.33997770e-02  6.25452017e-03 -2.00586864e-02]","0.7994188429730296"
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1)","[-2.50603210e-04  2.11047151e-06  6.61638220e-04 -2.83814081e-06
  6.90942774e-07 -1.14814431e-07  3.22502750e-04 -8.53126183e-03
  1.33991877e-02  6.25855298e-03 -3.29505913e-04]","0.8009997892084348"
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0)","[ 2.67420164e-04  2.05745206e-06  4.02715728e-04 -2.77211683e-06
  7.05888475e-07 -1.17496003e-07  3.29845234e-04 -8.58432252e-03
  1.31446078e-02  8.39664762e-05 -2.00459823e-02]","0.7975755039796706"
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1)","[ 2.64201870e-04  2.10985728e-06  4.05997069e-04 -2.83732038e-06
  7.05737039e-07 -1.17468492e-07  3.29770205e-04 -8.69487280e-03
  1.31446576e-02  8.40731865e-05 -3.29315080e-04]","0.7991594263430415"
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0)","[ 8.67316161e-04  4.29958962e-06  1.46410530e-03 -5.56438882e-06
  6.66737554e-07 -1.09886320e-07  2.43474388e-04 -7.62055224e-03
  2.33824576e-02  3.96545586e-03 -1.93692292e-02]","0.7764600900531998"
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1)","[ 8.71976870e-04  4.35736811e-06  1.46908103e-03 -5.63632192e-06
  6.66577352e-07 -1.09854741e-07  2.43124511e-04 -7.71887009e-03
  2.33201980e-02  3.95585932e-03 -3.17831923e-04]","0.7778287579444206"
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0)","[ 1.33355095e-03  4.26258265e-06  1.21031467e-03 -5.51829931e-06
  6.81060447e-07 -1.12465440e-07  2.51853440e-04 -7.78818601e-03
  2.29378835e-02  4.86202084e-05 -1.93703497e-02]","0.7753952463067695"
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1)","[ 1.33706236e-03  4.32077698e-06  1.21592601e-03 -5.59075179e-06
  6.80861370e-07 -1.12426751e-07  2.51482520e-04 -7.88644245e-03
  2.28766607e-02  4.85032415e-05 -3.17868439e-04]","0.7767691100619211"
"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[ 1.55396464e-04  2.05009735e-06  3.77941191e-05 -2.76296006e-06
  5.43024781e-07 -6.05568229e-07  9.86977572e-04 -3.05406074e-02
  1.35453324e-02  5.41531361e-03 -2.25010082e-02]","0.8124170382487262"
"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1)","[ 1.55088417e-04  2.10300097e-06  3.79765554e-05 -2.82884394e-06
  5.43016342e-07 -6.05557521e-07  9.86970371e-04 -3.09162837e-02
  1.35456676e-02  5.41594820e-03 -3.69194466e-04]","0.8142156407974406"
"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0)","[ 6.81322063e-04  2.04951273e-06 -2.25155658e-04 -2.76223510e-06
  5.53604903e-07 -6.18364785e-07  1.00825838e-03 -3.10852215e-02
  1.32831227e-02  7.00740722e-05 -2.24984606e-02]","0.8108118440423432"
"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1)","[ 6.79585579e-04  2.10267664e-06 -2.24259304e-04 -2.82844415e-06
  5.53569316e-07 -6.18321801e-07  1.00817379e-03 -3.14601811e-02
  1.32841780e-02  7.01317908e-05 -3.69166088e-04]","0.8126142372098452"
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0)","[ 1.29968292e-03  4.10872134e-06  6.10446540e-04 -5.32667529e-06
  5.36018987e-07 -5.94584779e-07  8.00987756e-04 -2.92029933e-02
  2.50416555e-02  3.06691427e-03 -2.24977448e-02]","0.79336896918539"
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1)","[ 1.30478513e-03  4.16546811e-06  6.13325035e-04 -5.39734082e-06
  5.35970455e-07 -5.94511102e-07  8.00103070e-04 -2.95340285e-02
  2.49884319e-02  3.05644538e-03 -3.68522651e-04]","0.7949723242105445"
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0)","[ 1.76620379e-03  4.06675686e-06  3.54319053e-04 -5.27441710e-06
  5.46007989e-07 -6.06717965e-07  8.26963208e-04 -2.97389752e-02
  2.46106022e-02  3.40807773e-05 -2.24954522e-02]","0.7925677614261368"
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1)","[ 1.76995252e-03  4.12404222e-06  3.57940948e-04 -5.34575337e-06
  5.45935552e-07 -6.06617023e-07  8.26005161e-04 -3.00694911e-02
  2.45586247e-02  3.39565016e-05 -3.68502464e-04]","0.7941762353345512"
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0)","[-2.77629401e-04  2.05803684e-06  6.74947979e-04 -2.77284610e-06
  5.24327865e-07 -5.82407206e-07  9.16858004e-04 -8.37279349e-03
  1.32966635e-02  6.30971513e-03 -2.00512288e-02]","0.7983945007767524"
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1)","[-2.79620534e-04  2.11034067e-06  6.77615971e-04 -2.83799298e-06
  5.24246460e-07 -5.82306067e-07  9.16576753e-04 -8.48342475e-03
  1.32960121e-02  6.31382612e-03 -3.29384802e-04]","0.7999746484759517"
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0)","[ 2.49806652e-04  2.05732355e-06  4.13066079e-04 -2.77196266e-06
  5.34893252e-07 -5.95182897e-07  9.36870107e-04 -8.53889521e-03
  1.30321060e-02  8.44837556e-05 -2.00380742e-02]","0.7964919435312702"
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1)","[ 2.46549875e-04  2.10976305e-06  4.16365197e-04 -2.83726349e-06
  5.34786699e-07 -5.95051460e-07  9.36515897e-04 -8.64938453e-03
  1.30320964e-02  8.45922670e-05 -3.29186743e-04]","0.7980750455114365"
"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0)","[ 8.35694917e-04  4.27973159e-06  1.46963793e-03 -5.53965027e-06
  5.11387209e-07 -5.63830219e-07  6.96814832e-04 -7.59089714e-03
  2.32882289e-02  4.02644729e-03 -1.93662159e-02]","0.7758946657437207"
"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1)","[ 8.40335448e-04  4.33745873e-06  1.47462538e-03 -5.61154485e-06
  5.11280235e-07 -5.63681819e-07  6.95619941e-04 -7.68922094e-03
  2.32259000e-02  4.01694152e-03 -3.17785222e-04]","0.7772635989815118"
"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0)","[ 1.31033161e-03  4.24138350e-06  1.21089932e-03 -5.49188548e-06
  5.21501229e-07 -5.76111239e-07  7.21635455e-04 -7.76099090e-03
  2.28316540e-02  4.93236434e-05 -1.93672346e-02]","0.7747923099582323"
"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)","[ 1.31380855e-03  4.29969366e-06  1.21653058e-03 -5.56449234e-06
  5.21368497e-07 -5.75931413e-07  7.20377539e-04 -7.85925667e-03
  2.27703842e-02  4.92086305e-05 -3.17820482e-04]","0.7761665354871067"
